width (um),neff - mode1,TE pol fraction - mode1,neff - mode2,TE pol fraction - mode2,neff - mode3,TE pol fraction - mode3,neff - mode4,TE pol fraction - mode4,neff - mode5,TE pol fraction - mode5,neff - mode6,TE pol fraction - mode6,neff - mode7,TE pol fraction - mode7,neff - mode8,TE pol fraction - mode8
2.25,2.826477399,0.999873715,2.764131434,0.99943863,2.657320027,0.998475457,2.501090503,0.996362973,2.287166002,0.991091001,2.038988923,0.012695947,2.002957713,0.967758034,1.964164298,0.043101904
2.26,2.826656073,0.999875954,2.764860499,0.999449013,2.659018281,0.998505874,2.504269885,0.996444614,2.292500951,0.991329092,2.039228443,0.013954853,2.011280296,0.964733961,1.96497452,0.042815834
2.27,2.826834527,0.99987706,2.765588095,0.999454502,2.660710863,0.998523738,2.507432724,0.996499502,2.297795613,0.991520385,2.039473631,0.016373648,2.019519995,0.958430613,1.965788571,0.042546495
2.28,2.827008915,0.999879229,2.766299429,0.999464534,2.662366815,0.998552977,2.510530012,0.996577301,2.302986354,0.991743792,2.039812828,0.026528935,2.027510588,0.929927749,1.966580634,0.042271183
2.29,2.827183147,0.999880306,2.767009577,0.999469862,2.66401782,0.998570187,2.513612288,0.996629579,2.308139659,0.991922369,2.040481605,0.101402025,2.03509768,0.748558206,1.967373696,0.042006782
2.3,2.827352641,0.999882389,2.767700733,0.999479468,2.665625887,0.998598054,2.516617378,0.996703124,2.313170039,0.992130471,2.044614672,0.757212472,2.03903634,0.098269987,1.968148384,0.041740193
2.31,2.827522559,0.999883429,2.768393074,0.999484592,2.66723458,0.998614509,2.519618009,0.996752643,2.318180837,0.992296708,2.051924832,0.939100107,2.0397508,0.024319025,1.96892194,0.041480358
2.32,2.827687565,0.999885439,2.769065717,0.999493843,2.668798681,0.998641215,2.522538371,0.996822539,2.323063592,0.992491598,2.059466136,0.963243214,2.040041288,0.015999188,1.969679074,0.041223099
2.33,2.827852843,0.999886432,2.769738948,0.999498725,2.670362116,0.998656822,2.525452103,0.996869128,2.327923653,0.992645568,2.06699245,0.972391622,2.040294807,0.013010363,1.97043302,0.040968626
2.34,2.828013983,0.999888384,2.770395627,0.999507685,2.671888239,0.998682564,2.52829908,0.996935962,2.332678056,0.992829367,2.074409904,0.975741776,2.040498599,0.012009239,1.971173979,0.040720422
2.35,2.828175273,0.999889349,2.771052407,0.999512412,2.673412595,0.998697578,2.531137458,0.996980343,2.337406624,0.992973635,2.08176434,0.978287561,2.040708049,0.011283181,1.971910381,0.040471133
2.36,2.828332181,0.999891228,2.77169166,0.999521018,2.67489747,0.998722197,2.533905318,0.997043778,2.342023965,0.993145739,2.088976743,0.979583563,2.040893148,0.010969692,1.972634352,0.040233073
2.37,2.828489667,0.99989219,2.772332746,0.999525696,2.676384563,0.998736898,2.536671889,0.997086623,2.346627292,0.993282266,2.09614026,0.980888842,2.041087499,0.0106521,1.973356033,0.039987525
2.38,2.828642434,0.999893977,2.772954961,0.999533866,2.677829156,0.998760205,2.539362633,0.997146341,2.351111363,0.99344247,2.103143838,0.981675916,2.041263079,0.010496447,1.974061439,0.039762529
2.39,2.828795754,0.999894903,2.773578913,0.999538356,2.679275771,0.998774242,2.54205178,0.997186907,2.355580982,0.993569832,2.11009801,0.982548593,2.041447857,0.010310062,1.974765594,0.039522844
2.4,2.828945004,0.999896633,2.774186625,0.999546252,2.680685959,0.998796672,2.544676325,0.99724398,2.359949836,0.99372114,2.116916642,0.983150784,2.041617876,0.010205287,1.9754565,0.039311156
2.41,2.829094572,0.99989755,2.774795132,0.999550675,2.682096037,0.998810366,2.547295455,0.997283046,2.364298205,0.993841558,2.123677722,0.983825391,2.041796437,0.010073303,1.976146153,0.03907713
2.42,2.829240143,0.9998992,2.775387704,0.999558196,2.683470426,0.998831677,2.549851458,0.997336995,2.368548529,0.993983168,2.130306066,0.984326138,2.041961136,0.009990779,1.976820842,0.038882757
2.43,2.829385793,0.99990008,2.775980117,0.999562424,2.68484255,0.998844715,2.552398196,0.997373926,2.372772319,0.994095555,2.136868636,0.984880068,2.042133768,0.00988689,1.977493624,0.038657097
2.44,2.829528092,0.999901683,2.776559205,0.999569718,2.686184996,0.998865295,2.554892869,0.997425668,2.376916174,0.994229839,2.143324402,0.98532257,2.042294604,0.009814643,1.978155869,0.038483607
2.45,2.829669945,0.999902528,2.777136022,0.999573771,2.687520368,0.998877739,2.557369584,0.99746066,2.381019617,0.994334974,2.149694499,0.985795972,2.042461952,0.009726856,1.978812147,0.038269103
2.46,2.829809083,0.999904085,2.777702094,0.999580837,2.688832006,0.998897596,2.559805189,0.997510257,2.38506111,0.994462315,2.1559842,0.986196153,2.042619291,0.009660292,1.979463171,0.038124469
2.47,2.829947273,0.999904896,2.778263869,0.999584716,2.690131958,0.998909459,2.562214495,0.997543394,2.389048876,0.994560694,2.16216899,0.986610382,2.042781829,0.009582611,1.980103708,0.037926062
2.48,2.830083338,0.999906409,2.778817299,0.99959157,2.691413696,0.998928645,2.564592843,0.997591004,2.392991302,0.994681649,2.168297863,0.986977261,2.04293586,0.009519593,1.9807447,0.037824865
2.49,2.830218018,0.999907196,2.779364668,0.999595324,2.692679743,0.998940057,2.566937684,0.997622605,2.396868571,0.994774189,2.174305454,0.987346022,2.043094047,0.009448647,1.981370949,0.037652411
2.5,2.830351072,0.999908658,2.779905708,0.999601935,2.693932212,0.998958503,2.56926007,0.997668131,2.400714359,0.9948888,2.18027749,0.987684425,2.043244797,0.00938818,1.982003109,0.037622997
2.51,2.830485301,0.999909495,2.780451209,0.999605884,2.695193783,0.998970302,2.571596135,0.99769999,2.404575997,0.994978693,2.186261066,0.98800891,2.043407839,0.009324433,1.982662173,0.037552656
2.52,2.83061249,0.999910836,2.780968177,0.999611946,2.696389613,0.998987229,2.573810925,0.997741845,2.408237558,0.99508464,2.191934798,0.988330053,2.043546482,0.009263528,1.983242549,0.037601782
2.53,2.83074335,0.99991164,2.781499859,0.999615736,2.697618699,0.998998507,2.576085329,0.997772105,2.41199372,0.995169113,2.197748852,0.988624865,2.04370551,0.009202953,1.983891956,0.037669821
